condition,scenario,IAE,IAE,ISE,ISE,SSE,SSE,ControlEnergy,ControlEnergy,MeanAbsVoltage,MeanAbsVoltage,MaxAbsVoltage,MaxAbsVoltage,NearSaturationFraction,NearSaturationFraction,SaturationFraction,SaturationFraction,RiseTime,RiseTime,SettlingTime,SettlingTime,Overshoot,Overshoot
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
combined_stress,ramp,7.840174402194171,,158.96924642847986,,29.379518341405614,,189.78872348761206,,19.34603574180597,,23.461240768432617,,0.25149700598802394,,0.1277445109780439,,,,,,,
combined_stress,sine,37.814561733781076,,3136.8633079902283,,48.34623777137972,,162.34712912658244,,15.32414624595668,,23.99491310119629,,0.5269461077844312,,0.499001996007984,,,,,,,
combined_stress,step_load_disturbance,36.527663791627106,,2757.3376662460787,,49.31804474677903,,168.62160623044906,,17.155602828979518,,23.32441520690918,,0.3473053892215569,,0.11177644710578842,,,,,,0.0,
combined_stress,step_nominal,31.58483914817033,,2238.5651931446555,,24.544484929123016,,236.09926015782668,,21.587641735076787,,23.78529167175293,,0.7305389221556886,,0.4311377245508982,,,,,,0.0,
friction,ramp,2.4573088201125537,,17.444555051585507,,3.3133379692899325,,74.6728343626466,,11.790073453903208,,18.85418128967285,,0.0,,0.0,,,,,,,
friction,sine,23.354075016177067,,1557.324657898015,,6.386652290669474,,149.19122493783556,,14.1434134683612,,23.97903060913086,,0.5409181636726547,,0.36726546906187624,,,,,,,
friction,step_load_disturbance,20.247700089991255,,1262.7559490730175,,12.56873187115184,,116.29981736852416,,14.891399759292618,,20.96682357788086,,0.05588822355289421,,0.0,,0.34199999999997466,,,,12.56873187115184,
friction,step_nominal,18.9788620709697,,1203.2848789694315,,17.390579849790583,,109.67292798716,,14.458497782707243,,20.11153221130371,,0.0,,0.0,,0.2789999999999816,,,,17.390579849790583,
j_plus_50,ramp,3.587035128830912,,41.715449013645795,,13.049088670068002,,111.612331808898,,14.709351579666164,,20.402400970458984,,0.001996007984031936,,0.0,,,,,,,
j_plus_50,sine,30.312996507006176,,2231.057872026455,,19.350849313822494,,157.7182657039035,,14.503809865951828,,23.98575210571289,,0.5469061876247505,,0.49101796407185627,,,,,,,
j_plus_50,step_load_disturbance,24.02533261814434,,1606.7869907420331,,3.072915598257481,,172.92609070299758,,18.502155551910334,,21.183868408203125,,0.1596806387225549,,0.0,,0.37899999999996853,,,,3.072915598257481,
j_plus_50,step_nominal,22.71613657037428,,1536.2244174362538,,13.005726858748105,,187.8955306256339,,19.161469844818022,,23.66729164123535,,0.405189620758483,,0.06986027944111776,,0.3309999999999738,,,,13.005726858748105,
nominal,ramp,2.348645194537016,,15.823569440059442,,2.434921178301849,,70.97585779083445,,11.443085987091075,,18.6148738861084,,0.0,,0.0,,,,,,,
nominal,sine,22.708340419578047,,1499.9220179181116,,8.902133112865016,,146.74107262534775,,13.971596903801268,,23.978445053100586,,0.5389221556886228,,0.34530938123752497,,,,,,,
nominal,step_load_disturbance,19.965171103664808,,1236.253788654475,,13.627888002452437,,111.88206680811035,,14.573528442382834,,20.8809871673584,,0.031936127744510975,,0.0,,0.33799999999997526,,,,13.627888002452437,
nominal,step_nominal,18.79643090328747,,1181.3919994626888,,17.922816558151396,,104.42714147533508,,14.083091505050696,,19.64945411682129,,0.0,,0.0,,0.2779999999999819,,,,17.922816558151396,
ra_plus_50,ramp,3.63316208536682,,39.05818385745603,,12.01320831950845,,113.74880779748496,,14.863182344436645,,21.064796447753906,,0.05389221556886228,,0.0,,,,,,,
ra_plus_50,sine,30.119163691863072,,2204.3220331666644,,17.957672133963428,,149.92679413068183,,13.982115092277828,,23.984790802001953,,0.5169660678642715,,0.48502994011976047,,,,,,,
ra_plus_50,step_load_disturbance,25.304446437568686,,1645.4669088256949,,2.654091661966902,,176.1940710444826,,18.08762425518034,,23.5865478515625,,0.30538922155688625,,0.03792415169660679,,0.4169999999999649,,,,0.0,
ra_plus_50,step_nominal,21.938051408156937,,1459.4766721231372,,12.985570961686136,,185.71420518696263,,19.128809055328315,,23.5865478515625,,0.34930139720558884,,0.043912175648702596,,0.33099999999997437,,,,12.985570961686136,
saturation,ramp,5.225341034394038,,75.09509220166379,,20.482078608237217,,145.88936955181924,,16.949051013946548,,22.512432098388672,,0.08183632734530938,,0.0,,,,,,,
saturation,sine,35.264008563341065,,2821.887015938303,,38.502432398300265,,163.77329263738886,,15.350792286873126,,23.98879623413086,,0.5449101796407185,,0.499001996007984,,,,,,,
saturation,step_load_disturbance,32.30147595915884,,2262.682087324603,,32.00783955985716,,164.66590172972525,,17.379629700660686,,23.772777557373047,,0.26746506986027946,,0.06986027944111776,,,,,,0.0,
saturation,step_nominal,28.390975929848835,,1947.112170317443,,11.420680405014423,,227.2107675748071,,21.1129809722899,,23.772777557373047,,0.6447105788423154,,0.5548902195608783,,,,,,0.0,
