controller,family,n_seeds,IAE_mean,IAE_std_across_seeds,IAE_std_across_cases,ISE_mean,ISE_std_across_seeds,ISE_std_across_cases,SSE_mean,SSE_std_across_seeds,SSE_std_across_cases,ControlEnergy_mean,ControlEnergy_std_across_seeds,ControlEnergy_std_across_cases,MeanAbsVoltage_mean,MeanAbsVoltage_std_across_seeds,MeanAbsVoltage_std_across_cases,SaturationFraction_mean,SaturationFraction_std_across_seeds,SaturationFraction_std_across_cases
Hinf,Classical,0,15.603996331459792,,10.137313345948954,1085.3514674880175,,778.5566524451369,6.406183798320542,,9.714115310205905,203.53558069873432,,70.35050290084575,,,,0.6214166666666666,,0.34566356056351855
SAC,RL,10,15.627940121707582,0.031810552411568924,,1089.0273718446763,0.23167600839933122,,5.988964545678506,0.052402220766717765,,203.8298353716218,0.2626320785676728,,18.676588069134677,0.014832802950842869,,0.6219644045242847,0.0017494747145677344,
LQR,Classical,0,15.713659263319409,,10.015373218281752,1086.0530273446955,,777.6521106785549,6.732753952058215,,9.61747995294098,202.09967472685673,,70.19404213858117,,,,0.6146666666666667,,0.34253970466992917
MPC,Classical,0,15.738113862472922,,9.988238798843682,1086.2306333783151,,777.4252105257005,6.805294674336166,,9.59803624684622,201.77968309896724,,70.16561288299222,,,,0.6131666666666666,,0.3418689892299409
PID,Classical,0,19.808394722633363,,6.2969957332971775,1217.5785589517748,,644.2893486905419,16.92823833503164,,15.442575879444922,147.28196817740852,,72.44093525881252,,,,0.27675,,0.2408396995297188
TD3,RL,10,20.498463426773593,0.7287122407566873,,1382.8092125721591,55.31267793521622,,20.957826084275798,3.880146921829814,,154.1465171123745,12.961665250728158,,16.753078783808174,0.7837806463885291,,0.10879906852960741,0.0660993652079993,
LQI,Classical,0,21.91148977142551,,5.289737736970526,1356.541794719328,,597.5481745259281,23.220066169812515,,13.290512166466184,141.67989245857268,,93.6237185312819,,,,0.34933333333333333,,0.40698751894832125
