controller,family,condition,scenario,IAE,IAE,ISE,ISE,SSE,SSE,ControlEnergy,ControlEnergy,MeanAbsVoltage,MeanAbsVoltage,SaturationFraction,SaturationFraction
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Hinf,Classical,combined_stress,ramp,5.3258445522884506,,73.31495206749614,,19.866086481435264,,281.2704339977692,,,,0.958,
Hinf,Classical,combined_stress,sine,29.77580089915315,,2395.1684745709326,,17.818275880999124,,288.0,,,,1.0,
Hinf,Classical,combined_stress,step_load_disturbance,31.34468733596149,,2163.0704744647733,,33.31574999494058,,288.0,,,,1.0,
Hinf,Classical,combined_stress,step_nominal,29.775800899153367,,2040.3013576260237,,23.779816709919142,,288.0,,,,1.0,
Hinf,Classical,friction,ramp,0.4158690710011817,,0.3467680199900393,,0.8365630018834591,,73.75696301121577,,,,0.0,
Hinf,Classical,friction,sine,15.744377236086647,,1190.9187978312425,,0.9649700899687436,,165.23434708569093,,,,0.496,
Hinf,Classical,friction,step_load_disturbance,12.497726536197469,,824.6057850336051,,0.1760015297722401,,152.27409070494346,,,,0.502,
Hinf,Classical,friction,step_nominal,12.415375896708197,,823.965204568299,,0.0352003250785568,,145.88545542072868,,,,0.492,
Hinf,Classical,j_plus_50,ramp,0.5951507815343312,,0.7115313744875873,,1.201942206331415,,140.4407050379168,,,,0.0,
Hinf,Classical,j_plus_50,sine,20.68742371729796,,1661.0656294093706,,1.3794427032228975,,210.830288033287,,,,0.622,
Hinf,Classical,j_plus_50,step_load_disturbance,18.599746024359224,,1221.7945431896148,,0.1408013549031244,,221.5586307906423,,,,0.754,
Hinf,Classical,j_plus_50,step_nominal,18.227853789576763,,1211.1089234496712,,9.482071448019269e-09,,211.095976260409,,,,0.722,
Hinf,Classical,nominal,ramp,0.3984058280712065,,0.3182325436828622,,0.8013627026655351,,68.41834710859519,,,,0.0,
Hinf,Classical,nominal,sine,15.47923037519835,,1166.3084695583111,,0.9297697970643304,,163.1050327642765,,,,0.49,
Hinf,Classical,nominal,step_load_disturbance,12.21378434638784,,806.7461177145153,,0.1408012198291629,,147.89117599442673,,,,0.49,
Hinf,Classical,nominal,step_nominal,12.140318722922022,,806.2818107679653,,1.9189735667168863e-09,,142.14907374172077,,,,0.482,
Hinf,Classical,ra_plus_50,ramp,0.5842021094231586,,0.685549907518214,,1.1798453282538746,,140.50304087199848,,,,0.0,
Hinf,Classical,ra_plus_50,sine,19.531810009982387,,1540.6658796330626,,1.3544574186960938,,205.02775919451412,,,,0.594,
Hinf,Classical,ra_plus_50,step_load_disturbance,17.186014847551583,,1114.4196986699576,,0.2075955747855465,,212.25989108693605,,,,0.716,
Hinf,Classical,ra_plus_50,step_nominal,16.754586939627238,,1103.7129855129328,,0.0003323106963338,,197.69214694223305,,,,0.676,
Hinf,Classical,saturation,ramp,2.5354473820589227,,15.514386163149606,,8.701257996030819,,277.46057872232007,,,,0.92,
Hinf,Classical,saturation,sine,26.894748234560176,,2193.2257989033787,,6.448788162501064,,288.0,,,,1.0,
Hinf,Classical,saturation,step_load_disturbance,28.47695818537347,,1894.1140437533888,,22.05902136789357,,288.0,,,,1.0,
Hinf,Classical,saturation,step_nominal,26.8947482345604,,1800.0698049790526,,12.410328991421087,,288.0,,,,1.0,
