controller,family,seed,condition,scenario,IAE,ISE,SSE,ControlEnergy,MeanAbsVoltage,SaturationFraction
SAC,RL,0.0,nominal,step_nominal,12.217089692426006,811.2867132502616,0.0064828775200425,142.27432778171334,13.193723741293304,0.4830339321357285
SAC,RL,0.0,nominal,step_load_disturbance,12.259080579614755,811.7451559864179,0.1218752215247889,148.17559642167546,14.272182028770764,0.4910179640718562
SAC,RL,0.0,nominal,ramp,0.2678141550453712,0.1503254003437898,0.81579720685626,68.5657660479222,11.66552942132946,0.0
SAC,RL,0.0,nominal,sine,15.485576048723674,1171.2611666091348,0.7274158167591622,163.85911786854317,16.02418667358186,0.4890219560878243
SAC,RL,0.0,ra_plus_50,step_nominal,16.809659949376957,1108.712511959185,0.0974338006682415,197.97456121245412,17.378801346063828,0.6766467065868264
SAC,RL,0.0,ra_plus_50,step_load_disturbance,17.226332287843956,1119.4149552251642,0.1222210513488306,213.13183030465424,18.9881333699228,0.718562874251497
SAC,RL,0.0,ra_plus_50,ramp,0.4319870408343416,0.378366563804102,1.1151901987948918,140.73957177780528,16.719765009164767,0.0
SAC,RL,0.0,ra_plus_50,sine,19.531007939319625,1545.5864451587768,0.975457030260003,206.51749992340496,18.880213765621352,0.6027944111776448
SAC,RL,0.0,j_plus_50,step_nominal,18.284133439179836,1216.1087878519213,0.1168929445504147,211.38597392326096,18.380574273348035,0.7245508982035929
SAC,RL,0.0,j_plus_50,step_load_disturbance,18.65566912068681,1226.7958112815877,0.2029616242350584,222.421512858794,19.487192487716825,0.7564870259481038
SAC,RL,0.0,j_plus_50,ramp,0.4515229326834957,0.4115717569880499,1.1415115185447604,140.66558001089157,16.715120614528615,0.0
SAC,RL,0.0,j_plus_50,sine,20.69063962355125,1665.991626104978,1.03424964194501,211.93525117126097,19.16234892773644,0.6347305389221557
SAC,RL,0.0,friction,step_nominal,12.486873120305196,828.9703492845957,0.0320466183141121,146.06049848542563,13.643856602669098,0.4950099800399201
SAC,RL,0.0,friction,step_load_disturbance,12.531205574863067,829.6009882659456,0.1489720004459229,152.55822613873033,14.722460756779018,0.5029940119760479
SAC,RL,0.0,friction,ramp,0.2830374180394349,0.1670122814052023,0.8490117526630314,73.8599540577318,12.108402988672218,0.0
SAC,RL,0.0,friction,sine,15.752699390447042,1195.8725716134618,0.7649476125933177,166.00374307062947,16.14130412524964,0.497005988023952
SAC,RL,0.0,saturation,step_nominal,26.940787110977677,1805.0384239789296,7.922247162385119,287.7119999999777,23.976,0.998003992015968
SAC,RL,0.0,saturation,step_load_disturbance,28.517745020124764,1898.9442789255693,18.426330494000013,287.7119999999777,23.976,0.998003992015968
SAC,RL,0.0,saturation,ramp,2.5974514349401394,16.224771668641054,9.263629414963944,274.9870452682077,23.30742023468012,0.906187624750499
SAC,RL,0.0,saturation,sine,26.94078711097768,2198.194417903253,7.922247162375385,287.7119999999777,23.976,0.998003992015968
SAC,RL,0.0,combined_stress,step_nominal,29.81582340925516,2045.102257016664,19.95497979276737,287.7119999999777,23.976,0.998003992015968
SAC,RL,0.0,combined_stress,step_load_disturbance,31.379524632413023,2167.610659306989,30.325407092927847,287.7119999999777,23.976,0.998003992015968
SAC,RL,0.0,combined_stress,ramp,5.362124396975861,74.15171595194755,21.03654840349995,280.3542315611553,23.56818745255467,0.9500998003992016
SAC,RL,0.0,combined_stress,sine,29.815823409255163,2399.969373961576,19.95497979275764,287.7119999999777,23.976,0.998003992015968
SAC,RL,1.0,nominal,step_nominal,12.317845443069835,811.3478851190334,0.5708864413285397,142.60530190630934,13.260682652950637,0.4810379241516966
SAC,RL,1.0,nominal,step_load_disturbance,12.299245768325484,811.7617837997238,0.2637184760411912,148.25684711136495,14.313342670440989,0.4890219560878243
SAC,RL,1.0,nominal,ramp,0.1458182265525223,0.0446985391594307,0.2211536461028487,69.01855618983838,11.700484773635823,0.0
SAC,RL,1.0,nominal,sine,15.547258188901326,1171.3461124980106,0.592597530768245,163.1674254703954,15.90429674008515,0.4890219560878243
SAC,RL,1.0,ra_plus_50,step_nominal,16.87613144178608,1108.748405053628,0.5374469307866718,198.6450718807888,17.450922898054337,0.6766467065868264
SAC,RL,1.0,ra_plus_50,step_load_disturbance,17.229666882868706,1119.4163649185416,0.1678367068119683,213.08176643010023,18.995303607940837,0.7145708582834331
SAC,RL,1.0,ra_plus_50,ramp,0.3394024071472759,0.2342182190038314,0.6010176987939957,141.7288311296241,16.769175344467122,0.0
SAC,RL,1.0,ra_plus_50,sine,19.5795185492042,1545.649903088265,1.2029722821663853,204.94261411168705,18.69247893519344,0.5968063872255489
SAC,RL,1.0,j_plus_50,step_nominal,18.337400964160068,1216.1382423631546,0.5308920587214345,212.0447178669725,18.447096024751843,0.7245508982035929
SAC,RL,1.0,j_plus_50,step_load_disturbance,18.657708258296424,1226.796977917795,0.2301076791597296,222.32148870570117,19.49000319194808,0.7524950099800399
SAC,RL,1.0,j_plus_50,ramp,0.3610145950062037,0.2660626911227602,0.6283658208565299,141.71494424188825,16.76378216123577,0.0
SAC,RL,1.0,j_plus_50,sine,20.731372143331622,1666.0405238676196,1.2407262377075483,210.7379075565061,19.00957364432996,0.6227544910179641
SAC,RL,1.0,friction,step_nominal,12.572636974077104,829.0208066792959,0.5341773621693449,146.36415343602388,13.709130852461197,0.4930139720558882
SAC,RL,1.0,friction,step_load_disturbance,12.56468642981932,829.6133884430309,0.2235950707675869,152.6504181357211,14.762039009094538,0.500998003992016
SAC,RL,1.0,friction,ramp,0.1640532977833362,0.056095093917378,0.2565431130554572,74.38864912388442,12.148294151782952,0.0
SAC,RL,1.0,friction,sine,15.809536968014546,1195.9482382349358,0.6292245881197402,165.32391503252578,16.02228111167278,0.4950099800399201
SAC,RL,1.0,saturation,step_nominal,26.940787110977677,1805.0384239789296,7.922247162385119,287.7119999999777,23.976,0.998003992015968
SAC,RL,1.0,saturation,step_load_disturbance,28.517745020124764,1898.9442789255693,18.426330494000013,287.7119999999777,23.976,0.998003992015968
SAC,RL,1.0,saturation,ramp,2.586672206188226,16.113844713071394,9.241736194732866,273.26534124069894,23.209272795200285,0.9021956087824352
