controller,family,IAE_mean,IAE_std_across_seeds,ISE_mean,ISE_std_across_seeds,SSE_mean,SSE_std_across_seeds,ControlEnergy_mean,ControlEnergy_std_across_seeds,MeanAbsVoltage_mean,MeanAbsVoltage_std_across_seeds,SaturationFraction_mean,SaturationFraction_std_across_seeds
Hinf,Classical,22.628004465388678,,1571.8474115660244,,18.04991569814258,,285.8413765900112,,,,0.98475,
SAC,RL,22.658688614184474,0.038987174540885204,1575.46279626979,0.6043453570161805,16.82413516167953,0.0778182478666823,285.49360292983255,0.510536365322658,23.854508920749637,0.027414299932288364,0.9827095808383233,0.003668880857102334
LQR,Classical,22.719479596809627,,1573.345131353864,,18.23685220092251,,284.31194688607934,,,,0.974,
MPC,Classical,22.739828319752696,,1573.7007810915657,,18.27892559898068,,283.97027618519775,,,,0.9715,
LQI,Classical,25.572449745083897,,1715.9846528062576,,26.077884903177978,,238.07793586803143,,,,0.756,
PID,Classical,25.5877416210418,,1701.5996262569556,,28.35366096257187,,207.27834523340823,,,,0.46399999999999997,
TD3,RL,27.092316312723746,0.9595571841861796,1987.3014658816287,95.0955007312297,33.442648709039176,3.621285197289735,146.40053804890007,16.861813506271552,16.465762621915292,1.042352169524609,0.09680638722554888,0.0762670859092401
