controller,family,n_seeds,IAE_mean,IAE_std_across_seeds,ISE_mean,ISE_std_across_seeds,SSE_mean,SSE_std_across_seeds,ControlEnergy_mean,ControlEnergy_std_across_seeds,SaturationFraction_mean,SaturationFraction_std_across_seeds
Hinf,Classical,0,15.603996331459792,,1085.3514674880178,,6.406183798320543,,203.53558069873432,,0.6214166666666666,
Residual SAC-Hinf,RL hybrid,10,15.627940121707582,0.03181055241156881,1089.0273718446763,0.23167600839936744,5.988964545678506,0.05240222076671776,203.82983537162184,0.2626320785676764,0.6219644045242847,0.0017494747145677353
Residual SAC-LQR,RL hybrid,10,15.701850080435056,0.016991578745352377,1089.5194456773188,0.1766033240704443,6.226250493126855,0.09916690228755376,202.44925547945263,0.22345742684758008,0.6131154357950765,0.0015999653411748209
LQR,Classical,0,15.713659263319409,,1086.0530273446955,,6.732753952058215,,202.09967472685673,,0.6146666666666666,
Residual SAC-MPC,RL hybrid,10,15.716813462998804,0.05982726654914262,1089.6340491330895,0.41340981690584866,6.3720020357146385,0.3059892250175689,202.12656579170948,0.7703570664841511,0.6120425815036593,0.00210499967067696
MPC,Classical,0,15.738113862472924,,1086.2306333783151,,6.805294674336166,,201.77968309896724,,0.6131666666666666,
