controller,family,seed,condition,scenario,IAE,ISE,SSE,ControlEnergy,SaturationFraction
Residual SAC-LQR,RL hybrid,0.0,nominal,step_nominal,12.332928587786212,811.364608987501,0.6022650560769591,142.5132157268851,0.4810379241516966
Residual SAC-LQR,RL hybrid,0.0,nominal,step_load_disturbance,12.2650191000405,811.749784932735,0.1036322354886181,150.24836126653585,0.4850299401197604
Residual SAC-LQR,RL hybrid,0.0,nominal,ramp,0.2693562963265643,0.1809830357692657,1.2697963750206045,67.52588626929858,0.0
Residual SAC-LQR,RL hybrid,0.0,nominal,sine,15.560875368743794,1171.3683446467965,1.1725318702361562,163.18340076710004,0.4890219560878243
Residual SAC-LQR,RL hybrid,0.0,ra_plus_50,step_nominal,16.897870351002165,1108.7742162184188,0.6993165135465915,198.2941910697273,0.6726546906187625
Residual SAC-LQR,RL hybrid,0.0,ra_plus_50,step_load_disturbance,17.225915800730384,1119.4163685766257,0.2665382926591633,212.51106630301268,0.7125748502994012
Residual SAC-LQR,RL hybrid,0.0,ra_plus_50,ramp,0.6838675800997198,0.9691112332505072,1.986384783905379,137.99068654070666,0.0
Residual SAC-LQR,RL hybrid,0.0,ra_plus_50,sine,19.60803294221804,1545.7332054779897,1.7974630508881404,203.49719769188485,0.6027944111776448
Residual SAC-LQR,RL hybrid,0.0,j_plus_50,step_nominal,18.359331797498943,1216.1647287128317,0.7119936602565957,211.5769775139652,0.720558882235529
Residual SAC-LQR,RL hybrid,0.0,j_plus_50,step_load_disturbance,18.64833582221491,1226.7945426430729,0.2220868322965259,221.86394879127005,0.7504990019960079
Residual SAC-LQR,RL hybrid,0.0,j_plus_50,ramp,0.8059579481815271,1.3452919393383564,1.8316725443343245,142.68154670467374,0.0
Residual SAC-LQR,RL hybrid,0.0,j_plus_50,sine,20.774007281653223,1666.1683694918584,2.028010806615669,208.82825754341587,0.6367265469061876
Residual SAC-LQR,RL hybrid,0.0,friction,step_nominal,12.584975403873084,829.033613327554,0.5577663541988329,146.24885423485193,0.4910179640718562
Residual SAC-LQR,RL hybrid,0.0,friction,step_load_disturbance,12.53854980888353,829.6055907747752,0.1275642796762071,154.26281710334922,0.499001996007984
Residual SAC-LQR,RL hybrid,0.0,friction,ramp,0.3088596277244425,0.2297791694332134,1.3624118286934532,72.75598497221796,0.0
Residual SAC-LQR,RL hybrid,0.0,friction,sine,15.822810444732657,1195.974146940204,1.253080014412106,165.26137152296548,0.4950099800399201
Residual SAC-LQR,RL hybrid,0.0,saturation,step_nominal,26.940787110977677,1805.0384239789296,7.922247162385119,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,0.0,saturation,step_load_disturbance,28.517745020124764,1898.9442789255693,18.426330494000013,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,0.0,saturation,ramp,3.022313009536261,21.38771770802629,10.20418583644009,260.61858741353404,0.8023952095808383
Residual SAC-LQR,RL hybrid,0.0,saturation,sine,26.94078711097768,2198.194417903253,7.922247162375385,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,0.0,combined_stress,step_nominal,29.81582340925516,2045.102257016664,19.95497979276737,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,0.0,combined_stress,step_load_disturbance,31.379524632413023,2167.610659306989,30.325407092927847,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,0.0,combined_stress,ramp,5.683073338866496,81.60576464364436,21.70469849578066,272.24595122359653,0.8902195608782435
Residual SAC-LQR,RL hybrid,0.0,combined_stress,sine,29.815823409255163,2399.969373961576,19.95497979275764,287.7119999999777,0.998003992015968
Residual SAC-LQR,RL hybrid,1.0,nominal,step_nominal,12.415925316513786,811.4892428879938,0.9535411323378042,142.37534131216427,0.4770459081836327
Residual SAC-LQR,RL hybrid,1.0,nominal,step_load_disturbance,12.31833672319584,811.7806090940542,0.1612885809847029,147.6610014423832,0.4810379241516966
Residual SAC-LQR,RL hybrid,1.0,nominal,ramp,0.2048872644632592,0.0849376039439796,0.3590753685838166,68.77329129975828,0.0
