controller,family,n_seeds,IAE_mean,IAE_std_across_seeds,ISE_mean,ISE_std_across_seeds,SSE_mean,SSE_std_across_seeds,ControlEnergy_mean,ControlEnergy_std_across_seeds,SaturationFraction_mean,SaturationFraction_std_across_seeds
Hinf,Classical,0,22.628004465388678,,1571.8474115660244,,18.04991569814258,,285.8413765900111,,0.98475,
Residual SAC-Hinf,RL hybrid,10,22.658688614184474,0.038987174540885135,1575.46279626979,0.6043453570162115,16.82413516167953,0.07781824786668205,285.49360292983255,0.510536365322662,0.9827095808383233,0.0036688808571023264
LQR,Classical,0,22.719479596809627,,1573.345131353864,,18.23685220092251,,284.31194688607934,,0.974,
Residual SAC-LQR,RL hybrid,10,22.731027118701533,0.03185413730140856,1576.655990873875,0.5154288340747867,16.976573925992845,0.06450681995182236,283.4901512481203,0.5316194857237893,0.9669660678642715,0.004270283259409673
MPC,Classical,0,22.739828319752696,,1573.7007810915657,,18.27892559898068,,283.97027618519775,,0.9715,
Residual SAC-MPC,RL hybrid,10,22.740940052038162,0.053312886579281515,1576.8475682161088,0.9193129940792848,16.996344124513406,0.10786668007575594,283.71980629438485,0.9163832696577234,0.9684630738522955,0.005962789662610762
