controller,condition,scenario,iae,ise,steady_state_error,control_energy,rise_time,settling_time,overshoot_pct,saturation_fraction
PID,nominal,step_nominal,14.931246566620093,877.1427703285879,2.4164212103762392,107.03770172524024,0.31399999999998174,0.49999999999996125,3.440766513303643,0.146
PID,nominal,step_load_disturbance,15.536593250801038,887.991601356894,1.7294860606448343,111.68252844815527,0.34299999999997854,0.4679999999999648,-0.7623839913026131,0.146
PID,nominal,ramp,10.844138275152094,264.26730056978096,27.893313732500374,40.25998613431067,,0.49999999999996125,-27.78561672240743,0.0
PID,nominal,sine,17.73302454229827,1203.796859239056,2.3556007537304704,118.55081813286934,,0.49999999999996125,-19.753253150238013,0.28
PID,ra_plus_50,step_nominal,19.76366159486274,1190.7515202981128,4.085881686604222,156.72915116450264,0.41299999999997083,0.49999999999996125,-2.1231492068207416,0.226
PID,ra_plus_50,step_load_disturbance,20.80877718898185,1223.8645002598646,9.431369895563982,165.51918747517024,0.4679999999999648,0.49999999999996125,-7.646102188986164,0.226
PID,ra_plus_50,ramp,13.53308674502158,425.31871300117893,38.120270112723595,63.667484203281525,,0.49999999999996125,-38.28940707137112,0.0
PID,ra_plus_50,sine,20.44885533317751,1556.8207811381542,3.59600641879864,155.84455133842667,,0.49999999999996125,-22.856537884687178,0.382
PID,j_plus_50,step_nominal,20.574488747318743,1271.2506979916368,4.281260269960187,166.06209428165346,0.4179999999999703,0.49999999999996125,-2.1975857768747318,0.264
PID,j_plus_50,step_load_disturbance,21.2714245104036,1293.461977518143,7.84582838447147,172.05861464008322,0.45099999999996665,0.49999999999996125,-5.880470020978493,0.264
PID,j_plus_50,ramp,13.53461057512601,425.3995069666204,38.12015301311769,63.680785472851575,,0.49999999999996125,-38.28857105402781,0.0
PID,j_plus_50,sine,21.39548008083477,1672.32849703112,4.238542681204106,164.60515990903684,,0.49999999999996125,-23.213318154001925,0.41
PID,friction,step_nominal,15.25686829206671,897.1201015681883,1.4259701806604133,110.5790533239848,0.32299999999998075,0.49999999999996125,2.4716079256875503,0.15
PID,friction,step_load_disturbance,15.988644898294984,909.792547807059,2.7199371495617344,115.49375763999355,0.3559999999999771,0.49199999999996213,-1.7315425816845076,0.15
PID,friction,ramp,11.265913148703385,285.12444338803164,28.898753860225128,43.448308138974,,0.49999999999996125,-28.77307004348857,0.0
PID,friction,sine,17.812726625202913,1224.6565863245182,2.289636930041348,121.32129236200477,,0.49999999999996125,-20.550484661094533,0.286
PID,saturation,step_nominal,27.197751818541715,1811.4741661296798,15.80753292436517,238.97598400870822,,0.49999999999996125,-12.316042936383099,0.522
PID,saturation,step_load_disturbance,28.60497803563177,1900.724255398858,23.65083569803285,256.79140190216634,,0.49999999999996125,-20.57553297752635,0.576
PID,saturation,ramp,13.852764641684454,456.02114182772846,42.498353383231645,67.41415391788368,,0.49999999999996125,-43.384884993358824,0.0
PID,saturation,sine,27.627909766943098,2208.251354687731,13.397339010896735,215.9549648674632,,0.49999999999996125,-29.879687351022127,0.53
PID,combined_stress,step_nominal,29.89089801489155,2046.6006562600169,25.23890050151617,266.6946579192667,,0.49999999999996125,-21.927346457838112,0.674
PID,combined_stress,step_load_disturbance,31.359827019176322,2164.0868957880257,33.576087592854236,282.773666905695,,0.49999999999996125,-30.761377813525907,0.838
PID,combined_stress,ramp,15.92534387250398,612.1966695097667,50.44645633584497,89.8159192166311,,0.49999999999996125,-51.700080317832885,0.0
PID,combined_stress,sine,30.242459798961534,2413.441870453839,22.213782253833156,239.8060131294515,,0.49999999999996125,-37.40174790965563,0.572
LQR,nominal,step_nominal,12.145544939204061,806.2868655390929,4.516053024872235e-09,141.49467080499338,0.2199999999999921,0.23899999999999,6.589800705114612e-09,0.476
LQR,nominal,step_load_disturbance,12.243188558798451,806.762397850581,0.2384229904264245,147.18404124849363,0.22199999999999187,0.24299999999998956,-0.2384229864504448,0.484
LQR,nominal,ramp,0.6708944584410008,0.9048405284482165,1.3569830358689834,67.78885238255558,0.456999999999966,0.0,-1.3569830298575651,0.0
LQR,nominal,sine,15.58409239419828,1166.5261978247497,1.5504683189622144,161.48860092026217,,0.24299999999998956,-16.323189759449562,0.486
LQR,ra_plus_50,step_nominal,16.76295687735815,1103.7215743578868,0.0005759734254328918,196.76037837806152,0.3069999999999825,0.3359999999999793,-0.0005740738382655763,0.668
LQR,ra_plus_50,step_load_disturbance,17.213470365581856,1114.4436669207541,0.3538121151797594,211.2073460358158,0.32199999999998086,0.3549999999999772,-0.35379961753756106,0.706
LQR,ra_plus_50,ramp,0.9872983420821567,1.9659861195314943,2.0107442709021646,138.6151669007631,0.46099999999996555,0.49999999999996125,-2.010772402593388,0.0
LQR,ra_plus_50,sine,19.62932464000081,1540.9326219648485,2.247798755133404,201.40881893289185,,0.49999999999996125,-18.7431534357993,0.59
LQR,j_plus_50,step_nominal,18.23614683872834,1211.1173998730612,2.5778972757848352e-05,210.11373929166675,0.32999999999998,0.3589999999999768,-7.344712571466516e-07,0.714
LQR,j_plus_50,step_load_disturbance,18.618881644722958,1221.8102814507884,0.23853604620755278,220.49413543500444,0.34299999999997854,0.37399999999997513,-0.23842619739447454,0.744
LQR,j_plus_50,ramp,0.9993508616796741,2.01441158858276,2.0352964353039793,138.548402792246,0.46099999999996555,0.49999999999996125,-2.0352964083801353,0.0
LQR,j_plus_50,sine,20.774652411459197,1661.3100841247715,2.2743162408967463,207.33055060142493,,0.49999999999996125,-18.76822282842518,0.616
LQR,friction,step_nominal,12.426643777097622,823.971390978512,0.05960573643091152,145.22747217464837,0.22499999999999154,0.24499999999998934,-0.05960573263435265,0.488
LQR,friction,step_load_disturbance,12.532448634516605,824.627347263571,0.2980287446907602,151.55080264598251,0.2279999999999912,0.2489999999999889,-0.29802874156720804,0.496
LQR,friction,ramp,0.7002990630455985,0.985977365122749,1.4165887727472815,73.07230543134094,0.4579999999999659,0.0,-1.4165887683797354,0.0
LQR,friction,sine,15.846791738274048,1191.1305616914758,1.6100740223526742,163.61133437977554,,0.24599999999998923,-17.036289187645284,0.492
