seed,checkpoint,IAE,SSE,ControlEnergy,SaturationFraction,objective
0,003,15.700107133463163,6.35031626365581,202.4325126107857,0.6131902860944777,16.017622946645954
1,003,15.688429131374429,6.1660914428126326,202.40598925160128,0.6127744510978044,15.99673370351506
2,001,15.71451809522541,6.185110852983918,202.30091712081295,0.6134397870924817,16.023773637874605
3,final,15.686037624087405,6.0503648246057145,202.75587000723297,0.6147704590818363,15.988555865317691
4,002,15.72200122201893,6.303348476998103,202.40702127914477,0.6132734530938123,16.037168645868835
5,003,15.711485369019726,6.231836514880257,202.78485988489444,0.6155189620758482,16.02307719476374
6,001,15.672118523729822,6.191283954387963,202.30857805055825,0.6117764471057884,15.98168272144922
7,002,15.705097656249208,6.233101129475926,202.4838156658476,0.6127744510978044,16.016752712723004
8,001,15.72514453772291,6.164246776410944,202.58494701212385,0.6139387890884896,16.033356876543458
9,003,15.693561511459553,6.386804695057289,202.02804391152475,0.6096972721224218,16.012901746212414
