seed,IAE,SSE,ControlEnergy,SaturationFraction
0,15.700107133463163,6.35031626365581,202.43251261078572,0.6131902860944777
1,15.688429131374429,6.1660914428126326,202.40598925160126,0.6127744510978044
2,15.71451809522541,6.185110852983918,202.30091712081298,0.6134397870924817
3,15.686037624087405,6.0503648246057145,202.75587000723297,0.6147704590818363
4,15.72200122201893,6.303348476998102,202.40702127914474,0.6132734530938123
5,15.711485369019726,6.231836514880257,202.78485988489444,0.6155189620758482
6,15.672118523729822,6.191283954387963,202.30857805055822,0.6117764471057884
7,15.705097656249208,6.233101129475926,202.48381566584757,0.6127744510978044
8,15.72514453772291,6.164246776410944,202.58494701212385,0.6139387890884896
9,15.693561511459551,6.386804695057289,202.02804391152475,0.6096972721224218
