stage,episodes,mean_reward,std_reward,min_reward,max_reward
1_nominal_uniform,500,372.625107744,275.3949675916144,142.616455,880.553227
2_robust_uniform,500,-35.950148698,451.93815261321174,-534.126719,877.822113
3_hard_uniform,500,-195.59744868599998,388.88181739159836,-534.126719,877.769449
4_hard_tracking,500,-260.648005386,353.2022631994733,-534.126719,878.931204
