condition,scenario,IAE,IAE,ISE,ISE,SSE,SSE,ControlEnergy,ControlEnergy,MeanAbsVoltage,MeanAbsVoltage,MaxAbsVoltage,MaxAbsVoltage,NearSaturationFraction,NearSaturationFraction,SaturationFraction,SaturationFraction,RiseTime,RiseTime,SettlingTime,SettlingTime,Overshoot,Overshoot
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
combined_stress,ramp,11.287858782896858,5.913659050225203,436.69094330140933,531.8484649148518,45.79400693923474,19.105723680247426,143.89516184271935,53.36964477167753,15.832736675262472,3.6346918502807912,21.760418319702147,2.8583749513723835,0.294810379241517,0.21655853663207492,0.14790419161676646,0.2026829018152658,,,,,,
combined_stress,sine,35.61820978805214,1.69888484046857,2990.2814985110367,196.83808818440193,41.29760828470615,9.3657561433458,133.48058123848017,39.62437417103192,15.458162586212051,2.4679435885380263,23.379179382324217,1.192325967640315,0.18922155688622755,0.19388763062773842,0.12654690618762474,0.17679718885510531,,,,,,
combined_stress,step_load_disturbance,37.64548133345067,2.026135124789194,2933.76211865546,271.15327216448395,53.021798095472334,8.428685435443292,116.25261738995648,49.661784090206375,14.475103515815675,3.1306196461092695,21.69431838989258,1.9164526377696405,0.10179640718562874,0.18414788839744556,0.0654690618762475,0.18704771049639063,,,,,0.0,0.0
combined_stress,step_nominal,35.899846735538404,1.6789712578427944,2729.9770227230233,222.1237901308542,40.51975624951705,5.9253926693429815,128.48430947929145,32.35688447655289,15.27111033878318,2.111597133277513,22.214287567138673,1.7637569535762698,0.1273453093812375,0.15504127548764773,0.081437125748503,0.14273837518427285,,,,,0.0,0.0
friction,ramp,8.500815434567064,4.764374051375169,239.22182667210754,236.03118951899373,27.663031412737713,18.512053495545672,142.597870414521,31.68329310131615,16.000728489160558,1.9383857477347108,22.69463005065918,1.7237293868448476,0.2435129740518962,0.22657792376737415,0.06746506986027943,0.10548796761042989,,,,,,
friction,sine,20.414725138008457,1.8124145402382972,1361.583433964221,82.90633166230613,18.551746256080925,9.025422581863491,153.8225527649691,22.899900419499694,16.093539511871512,1.3932435099327747,23.558853912353516,0.5881949066436886,0.3966067864271457,0.1351272671892074,0.16766467065868262,0.14821917997324058,,,,,,
friction,step_load_disturbance,16.598268973148908,1.435550756464656,974.956524515097,77.045259314065,11.984642403605278,9.063186103072043,143.680216733278,25.372565981965007,15.709177461719662,1.8968501357844214,23.17445011138916,1.2502760073934707,0.26167664670658686,0.15647834126194465,0.10998003992015967,0.13339430852377682,0.28589999999998184,0.0671771290445318,0.45199999999996654,,11.661246174122228,9.570726321628836
friction,step_nominal,16.973020458425612,2.1883154816501036,996.0569445745289,118.96863245296959,24.722426946550275,15.412245959321963,151.04821645762422,28.15844239842407,16.33012204713834,1.9263044487680046,23.538059425354003,0.5344648779318075,0.2956087824351298,0.1610950058229711,0.11736526946107784,0.16747393812869238,0.25569999999998516,0.0411340626623573,,,24.79425987218597,15.327425428502524
j_plus_50,ramp,3.685769667287384,1.6277107083704074,46.73321519188222,41.44453915338634,12.645024678884813,11.456030789008109,174.1188916303519,25.678063886457476,18.26318548059462,1.4089231749383095,22.904613876342772,1.1954285072812385,0.3343313373253493,0.19373791320518094,0.09261477045908183,0.16833184749387248,,,,,,
j_plus_50,sine,24.336343043942588,1.0051540168290183,1927.3501145975074,139.12495495546978,7.3822471949214545,5.432317366883149,166.6971560905938,26.020822999583384,17.83097663555147,1.4919777395113405,23.38372859954834,0.6852568037610945,0.27684630738522953,0.17178313125997363,0.0592814371257485,0.10005312865862505,,,,,,
j_plus_50,step_load_disturbance,23.74484312844975,1.887528453341123,1555.2273523057968,143.1486648515224,8.052895296924385,5.106623483917645,178.9413628764114,28.635315058288384,18.53288137035367,1.6335964476754683,23.24601173400879,1.4348244112744952,0.34910179640718564,0.16124332381705275,0.12395209580838325,0.12709989972885222,0.3782222222221917,0.03605820911310156,0.48349999999996307,0.0007071067811864697,5.369398941163388,5.194114318072093
j_plus_50,step_nominal,23.2674022729017,1.4289783811847367,1530.3158007622462,131.5633887929311,7.417425394455806,5.894178194925372,167.5576617940588,20.803295360365542,18.007834556293474,1.2520181440232843,22.77531967163086,1.2292120124659762,0.26487025948103793,0.16265267543862152,0.029740518962075847,0.03773634204798656,0.3738999999999698,0.024937477373977352,0.4819999999999632,0.01802775637731796,6.517266486252045,6.46587067876689
nominal,ramp,8.981959131917312,4.845295886468596,262.5521182846699,250.60540368962964,27.88830916902599,18.327452044098457,139.8116310553975,31.8102306311018,15.775009333181407,1.9563450803201468,22.826489448547363,1.5368995608965876,0.23512974051896207,0.21757361915016904,0.06766467065868263,0.10411796191523369,,,,,,
nominal,sine,20.377305683827736,1.9637884446758234,1342.8971371624189,91.59156517041937,19.718767298459817,9.59103958521209,154.10398155175,23.936972280038905,16.102185473823727,1.5085685056501588,23.62116985321045,0.408756698891502,0.40359281437125744,0.13543730903755824,0.18003992015968065,0.15123717941755,,,,,,
nominal,step_load_disturbance,15.724688873729184,1.3666388564555072,923.1181422081684,59.11797290395786,11.257302741463052,10.015039185577555,144.65894034962452,24.346665427181616,15.50732160453814,2.0119734643396825,23.483362007141114,0.9128345526981523,0.3087824351297405,0.13767166742572204,0.14890219560878243,0.1447475117483384,0.2609999999999847,0.05803064324608867,0.42549999999996946,0.06434671708796874,11.752757742923638,9.83124400038262
