controller,family,IAE_mean,IAE_std_across_seeds,ISE_mean,ISE_std_across_seeds,SSE_mean,SSE_std_across_seeds,ControlEnergy_mean,ControlEnergy_std_across_seeds,MeanAbsVoltage_mean,MeanAbsVoltage_std_across_seeds,SaturationFraction_mean,SaturationFraction_std_across_seeds
LQR,Classical,22.719479596809627,,1573.345131353864,,18.23685220092251,,284.31194688607934,,,,0.974,
SAC,RL,22.731027118701533,0.0318541373014083,1576.655990873875,0.5154288340747929,16.976573925992845,0.06450681995182299,283.4901512481203,0.5316194857237728,23.752869427841695,0.026151809068928382,0.9669660678642714,0.004270283259409656
MPC,Classical,22.739828319752696,,1573.7007810915657,,18.27892559898068,,283.97027618519775,,,,0.9715,
LQI,Classical,25.572449745083897,,1715.9846528062576,,26.077884903177978,,238.07793586803143,,,,0.756,
PID,Classical,25.5877416210418,,1701.5996262569556,,28.35366096257187,,207.27834523340823,,,,0.46399999999999997,
TD3,RL,27.092316312723746,0.9595571841861796,1987.3014658816287,95.0955007312297,33.442648709039176,3.621285197289735,146.40053804890007,16.861813506271552,16.465762621915292,1.042352169524609,0.09680638722554888,0.0762670859092401
