controller,family,condition,scenario,IAE,IAE,ISE,ISE,SSE,SSE,ControlEnergy,ControlEnergy,MeanAbsVoltage,MeanAbsVoltage,SaturationFraction,SaturationFraction
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
LQI,Classical,combined_stress,ramp,14.951756978364426,,528.9605431521848,,45.10141154499872,,130.81299810237115,,,,0.186,
LQI,Classical,combined_stress,sine,30.058290308804555,,2429.143621580887,,18.372704082747543,,284.2488462191304,,,,0.978,
LQI,Classical,combined_stress,step_load_disturbance,31.63025811224613,,2199.0934935485493,,33.87636267622625,,284.1939896045909,,,,0.978,
LQI,Classical,combined_stress,step_nominal,30.061359635714737,,2074.5499598199863,,24.34032783038968,,284.1939896045909,,,,0.978,
LQI,Classical,friction,ramp,14.610699162588151,,503.7833304023135,,43.69540960183632,,27.5488292413796,,,,0.0,
LQI,Classical,friction,sine,20.85237589898386,,1484.5113373271397,,14.419325253963809,,74.59838553157634,,,,0.0,
LQI,Classical,friction,step_load_disturbance,22.180124536532364,,1288.2285287217248,,15.432577703961492,,77.64726929665302,,,,0.0,
LQI,Classical,friction,step_nominal,22.134820110324213,,1285.5581894445031,,15.342870885383292,,68.04595229665475,,,,0.0,
LQI,Classical,j_plus_50,ramp,14.70474210024442,,510.1909170589883,,43.90403587017392,,51.3634218234281,,,,0.0,
LQI,Classical,j_plus_50,sine,21.77620012033397,,1719.7660511374715,,11.233998792902469,,169.9584319798296,,,,0.556,
LQI,Classical,j_plus_50,step_load_disturbance,22.433762768840275,,1357.826256113312,,14.485519793849358,,162.7222956109352,,,,0.4,
LQI,Classical,j_plus_50,step_nominal,22.38759303612119,,1355.186360174028,,14.398142867000615,,150.5050985864097,,,,0.394,
LQI,Classical,nominal,ramp,14.596665618648297,,503.11667855856246,,43.6849785771888,,24.55995800475878,,,,0.0,
LQI,Classical,nominal,sine,20.83826102548091,,1482.8324681153956,,14.409254560465126,,69.96365057446202,,,,0.0,
LQI,Classical,nominal,step_load_disturbance,22.166009661738425,,1286.621266828877,,15.422507010834952,,72.31955418522155,,,,0.0,
LQI,Classical,nominal,step_nominal,22.120705235875477,,1283.9526753065668,,15.332800198567938,,63.208853481119206,,,,0.0,
LQI,Classical,ra_plus_50,ramp,14.701064431437226,,509.9507398280916,,43.896768679679234,,51.36362923842084,,,,0.0,
LQI,Classical,ra_plus_50,sine,21.208778792825136,,1618.9635112798126,,12.922074087762134,,148.8665008622154,,,,0.466,
LQI,Classical,ra_plus_50,step_load_disturbance,22.325797291586717,,1321.2573434631165,,15.106639426626908,,150.84409298669928,,,,0.26,
LQI,Classical,ra_plus_50,step_nominal,22.25855676198045,,1317.3801970539043,,14.971605539880242,,132.17800836172967,,,,0.26,
LQI,Classical,saturation,ramp,14.767734264449174,,515.9159641528838,,44.326813983864966,,69.6857824898238,,,,0.0,
LQI,Classical,saturation,sine,27.174010332267944,,2223.362965560663,,7.007218972701944,,283.87603912230145,,,,0.976,
LQI,Classical,saturation,step_load_disturbance,28.75919950897761,,1926.3421342757988,,22.623469368763224,,283.80592090072145,,,,0.976,
LQI,Classical,saturation,step_nominal,27.176988819846617,,1830.5085403591092,,12.974770765731485,,283.80592090072145,,,,0.976,
LQR,Classical,combined_stress,ramp,5.661713530265914,,80.84039314782814,,20.54226089196116,,276.49225867296497,,,,0.926,
LQR,Classical,combined_stress,sine,29.77580089915315,,2395.1684745709326,,17.818275880999124,,288.0,,,,1.0,
LQR,Classical,combined_stress,step_load_disturbance,31.34468733596149,,2163.0704744647733,,33.31574999494058,,288.0,,,,1.0,
LQR,Classical,combined_stress,step_nominal,29.775800899153367,,2040.3013576260237,,23.779816709919142,,288.0,,,,1.0,
LQR,Classical,friction,ramp,0.7002990630455985,,0.985977365122749,,1.4165887727472817,,73.07230543134094,,,,0.0,
LQR,Classical,friction,sine,15.846791738274048,,1191.1305616914758,,1.6100740223526742,,163.61133437977554,,,,0.492,
LQR,Classical,friction,step_load_disturbance,12.532448634516603,,824.627347263571,,0.2980287446907602,,151.55080264598251,,,,0.496,
LQR,Classical,friction,step_nominal,12.426643777097622,,823.971390978512,,0.0596057364309115,,145.22747217464837,,,,0.488,
LQR,Classical,j_plus_50,ramp,0.999350861679674,,2.01441158858276,,2.0352964353039797,,138.548402792246,,,,0.0,
LQR,Classical,j_plus_50,sine,20.7746524114592,,1661.3100841247715,,2.2743162408967463,,207.33055060142493,,,,0.616,
LQR,Classical,j_plus_50,step_load_disturbance,18.61888164472296,,1221.8102814507884,,0.2385360462075527,,220.49413543500444,,,,0.744,
LQR,Classical,j_plus_50,step_nominal,18.23614683872834,,1211.1173998730612,,2.5778972757848352e-05,,210.11373929166675,,,,0.714,
LQR,Classical,nominal,ramp,0.6708944584410008,,0.9048405284482164,,1.3569830358689834,,67.78885238255558,,,,0.0,
LQR,Classical,nominal,sine,15.58409239419828,,1166.5261978247495,,1.5504683189622144,,161.48860092026217,,,,0.486,
LQR,Classical,nominal,step_load_disturbance,12.243188558798453,,806.762397850581,,0.2384229904264245,,147.18404124849363,,,,0.484,
LQR,Classical,nominal,step_nominal,12.14554493920406,,806.2868655390929,,4.516053024872235e-09,,141.49467080499338,,,,0.476,
LQR,Classical,ra_plus_50,ramp,0.9872983420821568,,1.9659861195314945,,2.010744270902165,,138.6151669007631,,,,0.0,
LQR,Classical,ra_plus_50,sine,19.62932464000081,,1540.9326219648483,,2.247798755133404,,201.40881893289185,,,,0.59,
LQR,Classical,ra_plus_50,step_load_disturbance,17.213470365581856,,1114.443666920754,,0.3538121151797594,,211.2073460358158,,,,0.706,
LQR,Classical,ra_plus_50,step_nominal,16.76295687735815,,1103.7215743578868,,0.0005759734254328,,196.76037837806152,,,,0.668,
LQR,Classical,saturation,ramp,2.931379455449051,,19.97070338553392,,9.52057560774435,,270.0033164156698,,,,0.866,
LQR,Classical,saturation,sine,26.894748234560176,,2193.2257989033787,,6.448788162501064,,288.0,,,,1.0,
LQR,Classical,saturation,step_load_disturbance,28.47695818537347,,1894.1140437533888,,22.05902136789357,,288.0,,,,1.0,
LQR,Classical,saturation,step_nominal,26.8947482345604,,1800.0698049790526,,12.410328991421087,,288.0,,,,1.0,
MPC,Classical,combined_stress,ramp,5.737032359064552,,82.60557377066566,,20.695456926115884,,275.4141632745298,,,,0.92,
MPC,Classical,combined_stress,sine,29.77580089915315,,2395.1684745709326,,17.818275880999124,,288.0,,,,1.0,
MPC,Classical,combined_stress,step_load_disturbance,31.34468733596149,,2163.0704744647733,,33.31574999494058,,288.0,,,,1.0,
MPC,Classical,combined_stress,step_nominal,29.775800899153367,,2040.3013576260237,,23.779816709919142,,288.0,,,,1.0,
MPC,Classical,friction,ramp,0.7635549485154229,,1.1728533386294049,,1.546469416059501,,72.91971279179825,,,,0.0,
MPC,Classical,friction,sine,15.86894749170428,,1191.1903599045372,,1.7513446964507249,,163.24629866102887,,,,0.492,
MPC,Classical,friction,step_load_disturbance,12.54060285315392,,824.6344735610041,,0.3253527293317603,,151.38201523699595,,,,0.494,
MPC,Classical,friction,step_nominal,12.429596112142834,,823.9738813943706,,0.0650705512924258,,145.0679987780083,,,,0.486,
MPC,Classical,j_plus_50,ramp,1.0889181025012675,,2.393859576584608,,2.221901658432483,,138.1259586004434,,,,0.0,
MPC,Classical,j_plus_50,sine,20.79256293793342,,1661.3758366850486,,2.4662087839768496,,206.56992147324596,,,,0.614,
MPC,Classical,j_plus_50,step_load_disturbance,18.62374264191092,,1221.8160084999529,,0.2605399361176984,,220.2582818665169,,,,0.742,
MPC,Classical,j_plus_50,step_nominal,18.238621932991645,,1211.12070596104,,6.818925339928228e-05,,209.89397712132387,,,,0.712,
MPC,Classical,nominal,ramp,0.7314944916473185,,1.0763380153326008,,1.481398880017292,,67.6485363880668,,,,0.0,
MPC,Classical,nominal,sine,15.606857672925344,,1166.5877234367,,1.686274155914268,,161.14559501108428,,,,0.486,
MPC,Classical,nominal,step_load_disturbance,12.250135438057873,,806.7678599262053,,0.2602821648328245,,147.02240115358833,,,,0.482,
MPC,Classical,nominal,step_nominal,12.14715754959009,,806.2889685231982,,5.076724676200683e-09,,141.35643313581613,,,,0.476,
MPC,Classical,ra_plus_50,ramp,1.078221788483361,,2.346944898049553,,2.200141585970548,,138.18596785238825,,,,0.0,
MPC,Classical,ra_plus_50,sine,19.64985790991293,,1541.0059534178847,,2.4428141420108798,,200.6120993674048,,,,0.59,
MPC,Classical,ra_plus_50,step_load_disturbance,17.220305689359467,,1114.4521253010791,,0.3871627414462452,,210.96843098744995,,,,0.704,
MPC,Classical,ra_plus_50,step_nominal,16.76552858049849,,1103.7250599074232,,0.0006377560389074,,196.54655646847144,,,,0.666,
MPC,Classical,saturation,ramp,3.0188504101949576,,21.050720664309328,,9.703966758055,,268.3480462070523,,,,0.852,
MPC,Classical,saturation,sine,26.894748234560176,,2193.2257989033787,,6.448788162501064,,288.0,,,,1.0,
MPC,Classical,saturation,step_load_disturbance,28.47695818537347,,1894.1140437533888,,22.05902136789357,,288.0,,,,1.0,
MPC,Classical,saturation,step_nominal,26.8947482345604,,1800.0698049790526,,12.410328991421087,,288.0,,,,1.0,
PID,Classical,combined_stress,ramp,15.92534387250398,,612.1966695097667,,50.44645633584497,,89.8159192166311,,,,0.0,
PID,Classical,combined_stress,sine,30.242459798961534,,2413.441870453839,,22.21378225383316,,239.8060131294515,,,,0.572,
PID,Classical,combined_stress,step_load_disturbance,31.35982701917632,,2164.0868957880257,,33.57608759285424,,282.773666905695,,,,0.838,
PID,Classical,combined_stress,step_nominal,29.89089801489155,,2046.6006562600169,,25.23890050151617,,266.6946579192667,,,,0.674,
PID,Classical,friction,ramp,11.265913148703383,,285.12444338803164,,28.898753860225128,,43.448308138974,,,,0.0,
PID,Classical,friction,sine,17.812726625202913,,1224.6565863245182,,2.289636930041348,,121.32129236200475,,,,0.286,
PID,Classical,friction,step_load_disturbance,15.988644898294984,,909.792547807059,,2.7199371495617344,,115.49375763999356,,,,0.15,
PID,Classical,friction,step_nominal,15.25686829206671,,897.1201015681883,,1.4259701806604133,,110.5790533239848,,,,0.15,
PID,Classical,j_plus_50,ramp,13.53461057512601,,425.3995069666204,,38.12015301311769,,63.680785472851575,,,,0.0,
PID,Classical,j_plus_50,sine,21.39548008083477,,1672.32849703112,,4.238542681204106,,164.60515990903684,,,,0.41,
PID,Classical,j_plus_50,step_load_disturbance,21.2714245104036,,1293.461977518143,,7.84582838447147,,172.05861464008322,,,,0.264,
PID,Classical,j_plus_50,step_nominal,20.574488747318743,,1271.2506979916368,,4.281260269960187,,166.06209428165346,,,,0.264,
PID,Classical,nominal,ramp,10.844138275152094,,264.26730056978096,,27.89331373250037,,40.25998613431067,,,,0.0,
PID,Classical,nominal,sine,17.73302454229827,,1203.796859239056,,2.3556007537304704,,118.55081813286934,,,,0.28,
PID,Classical,nominal,step_load_disturbance,15.536593250801038,,887.991601356894,,1.7294860606448343,,111.68252844815528,,,,0.146,
PID,Classical,nominal,step_nominal,14.931246566620093,,877.1427703285879,,2.4164212103762392,,107.03770172524024,,,,0.146,
PID,Classical,ra_plus_50,ramp,13.53308674502158,,425.3187130011789,,38.1202701127236,,63.667484203281525,,,,0.0,
PID,Classical,ra_plus_50,sine,20.44885533317751,,1556.8207811381542,,3.59600641879864,,155.84455133842667,,,,0.382,
PID,Classical,ra_plus_50,step_load_disturbance,20.80877718898185,,1223.8645002598646,,9.431369895563982,,165.51918747517024,,,,0.226,
PID,Classical,ra_plus_50,step_nominal,19.76366159486274,,1190.7515202981128,,4.085881686604222,,156.72915116450264,,,,0.226,
PID,Classical,saturation,ramp,13.852764641684454,,456.02114182772846,,42.498353383231645,,67.41415391788368,,,,0.0,
PID,Classical,saturation,sine,27.627909766943095,,2208.251354687731,,13.397339010896737,,215.9549648674632,,,,0.53,
PID,Classical,saturation,step_load_disturbance,28.60497803563177,,1900.724255398858,,23.65083569803285,,256.79140190216634,,,,0.576,
PID,Classical,saturation,step_nominal,27.197751818541715,,1811.47416612968,,15.80753292436517,,238.97598400870825,,,,0.522,
SAC,RL,combined_stress,ramp,5.579632405720777,0.10971321925983268,79.11630728931,2.453043811371498,21.482733058422944,0.21762976400175876,275.4126774282205,1.4580937749133067,23.31116688650692,0.07794571320520953,0.9123752495009979,0.010538804545134312
SAC,RL,combined_stress,sine,29.815823409255167,0.0,2399.969373961576,0.0,19.95497979275764,0.0,287.7119999999777,0.0,23.976,0.0,0.998003992015968,0.0
SAC,RL,combined_stress,step_load_disturbance,31.379524632413023,0.0,2167.610659306989,0.0,30.325407092927843,0.0,287.7119999999777,0.0,23.976,0.0,0.998003992015968,0.0
