controller,family,seed,condition,scenario,IAE,ISE,SSE,ControlEnergy,MeanAbsVoltage,SaturationFraction
SAC,RL,0.0,nominal,step_nominal,12.332928587786212,811.364608987501,0.6022650560769591,142.5132157268851,13.264977132320752,0.4810379241516966
SAC,RL,0.0,nominal,step_load_disturbance,12.2650191000405,811.749784932735,0.1036322354886181,150.24836126653585,14.348937672656342,0.4850299401197604
SAC,RL,0.0,nominal,ramp,0.2693562963265643,0.1809830357692657,1.2697963750206045,67.52588626929858,11.585394005775417,0.0
SAC,RL,0.0,nominal,sine,15.560875368743794,1171.3683446467965,1.1725318702361562,163.18340076710004,15.92613178055585,0.4890219560878243
SAC,RL,0.0,ra_plus_50,step_nominal,16.897870351002165,1108.7742162184188,0.6993165135465915,198.2941910697273,17.47706776070616,0.6726546906187625
SAC,RL,0.0,ra_plus_50,step_load_disturbance,17.225915800730384,1119.4163685766257,0.2665382926591633,212.51106630301268,18.925716625213788,0.7125748502994012
SAC,RL,0.0,ra_plus_50,ramp,0.6838675800997198,0.9691112332505072,1.986384783905379,137.99068654070666,16.53544051742549,0.0
SAC,RL,0.0,ra_plus_50,sine,19.60803294221804,1545.7332054779897,1.7974630508881404,203.49719769188485,18.646489831671293,0.6027944111776448
SAC,RL,0.0,j_plus_50,step_nominal,18.359331797498943,1216.1647287128317,0.7119936602565957,211.5769775139652,18.47462587308901,0.720558882235529
SAC,RL,0.0,j_plus_50,step_load_disturbance,18.64833582221491,1226.7945426430729,0.2220868322965259,221.86394879127005,19.416098682403717,0.7504990019960079
SAC,RL,0.0,j_plus_50,ramp,0.8059579481815271,1.3452919393383564,1.8316725443343245,142.68154670467374,16.554829274177504,0.0
SAC,RL,0.0,j_plus_50,sine,20.774007281653223,1666.1683694918584,2.028010806615669,208.82825754341587,18.930310911745,0.6367265469061876
SAC,RL,0.0,friction,step_nominal,12.584975403873084,829.033613327554,0.5577663541988329,146.24885423485193,13.712972885609004,0.4910179640718562
SAC,RL,0.0,friction,step_load_disturbance,12.53854980888353,829.6055907747752,0.1275642796762071,154.26281710334922,14.74391479702324,0.499001996007984
SAC,RL,0.0,friction,ramp,0.3088596277244425,0.2297791694332134,1.3624118286934532,72.75598497221796,12.026090442657436,0.0
SAC,RL,0.0,friction,sine,15.822810444732657,1195.974146940204,1.253080014412106,165.26137152296548,16.04804198468502,0.4950099800399201
SAC,RL,0.0,saturation,step_nominal,26.940787110977677,1805.0384239789296,7.922247162385119,287.7119999999777,23.976,0.998003992015968
SAC,RL,0.0,saturation,step_load_disturbance,28.517745020124764,1898.9442789255693,18.426330494000013,287.7119999999777,23.976,0.998003992015968
SAC,RL,0.0,saturation,ramp,3.022313009536261,21.38771770802629,10.20418583644009,260.61858741353404,22.5648344326018,0.8023952095808383
SAC,RL,0.0,saturation,sine,26.94078711097768,2198.194417903253,7.922247162375385,287.7119999999777,23.976,0.998003992015968
SAC,RL,0.0,combined_stress,step_nominal,29.81582340925516,2045.102257016664,19.95497979276737,287.7119999999777,23.976,0.998003992015968
SAC,RL,0.0,combined_stress,step_load_disturbance,31.379524632413023,2167.610659306989,30.325407092927847,287.7119999999777,23.976,0.998003992015968
SAC,RL,0.0,combined_stress,ramp,5.683073338866496,81.60576464364436,21.70469849578066,272.24595122359653,23.163133478164607,0.8902195608782435
SAC,RL,0.0,combined_stress,sine,29.815823409255163,2399.969373961576,19.95497979275764,287.7119999999777,23.976,0.998003992015968
SAC,RL,1.0,nominal,step_nominal,12.415925316513786,811.4892428879938,0.9535411323378042,142.37534131216427,13.304789279461252,0.4770459081836327
SAC,RL,1.0,nominal,step_load_disturbance,12.31833672319584,811.7806090940542,0.1612885809847029,147.6610014423832,14.301123150825816,0.4810379241516966
SAC,RL,1.0,nominal,ramp,0.2048872644632592,0.0849376039439796,0.3590753685838166,68.77329129975828,11.6828818531036,0.0
SAC,RL,1.0,nominal,sine,15.697282918611416,1171.7558057680917,0.9297865721092506,161.21444126185946,15.71285913221565,0.4850299401197604
SAC,RL,1.0,ra_plus_50,step_nominal,16.930683166354115,1108.8259981381395,0.9292396848053386,198.0416550186576,17.514214736938683,0.6686626746506986
SAC,RL,1.0,ra_plus_50,step_load_disturbance,17.242324898557214,1119.4264063233218,0.1215889602871413,212.33044159900072,18.988415479660198,0.7065868263473054
SAC,RL,1.0,ra_plus_50,ramp,0.5104823799820182,0.5253189688277996,1.0036796201721074,140.50116665390968,16.69711022281642,0.0
SAC,RL,1.0,ra_plus_50,sine,19.69350824386176,1545.952521066533,1.6679000210697126,201.37580176831509,18.35327532862145,0.6067864271457086
SAC,RL,1.0,j_plus_50,step_nominal,18.380844942957687,1216.2003501837346,0.925033195121486,211.242387720799,18.50694525384921,0.7145708582834331
SAC,RL,1.0,j_plus_50,step_load_disturbance,18.674054941807437,1226.8103816744751,0.2899234245056874,221.54653737858908,19.49593729114547,0.7445109780439122
SAC,RL,1.0,j_plus_50,ramp,0.5638313247477734,0.6431730799236552,1.0313051621012337,140.53194864091097,16.689872803687997,0.0
SAC,RL,1.0,j_plus_50,sine,20.83693640516721,1666.3054670174658,1.8611841452601965,207.28084564761667,18.64861043080705,0.6287425149700598
SAC,RL,1.0,friction,step_nominal,12.660005977607028,829.1376070124109,0.8895804050092124,146.117660539992,13.749756528854704,0.4870259481037924
SAC,RL,1.0,friction,step_load_disturbance,12.575944417254927,829.6260951678245,0.0882389404686847,152.03324476842235,14.745954288482965,0.4930139720558882
SAC,RL,1.0,friction,ramp,0.2355526444623922,0.1121427555837556,0.4183623238154581,74.09790152091051,12.12751603126522,0.0
SAC,RL,1.0,friction,sine,15.952970702701808,1196.3245388215507,1.0009443202756358,163.35653336973795,15.828843535268945,0.4930139720558882
SAC,RL,1.0,saturation,step_nominal,26.940787110977677,1805.0384239789296,7.922247162385119,287.7119999999777,23.976,0.998003992015968
SAC,RL,1.0,saturation,step_load_disturbance,28.517745020124764,1898.9442789255693,18.426330494000013,287.7119999999777,23.976,0.998003992015968
SAC,RL,1.0,saturation,ramp,2.740149383612881,17.8396055624634,9.569854681428254,266.90131446286466,22.907241300582797,0.8243512974051896
SAC,RL,1.0,saturation,sine,26.94078711097768,2198.194417903253,7.922247162375385,287.7119999999777,23.976,0.998003992015968
SAC,RL,1.0,combined_stress,step_nominal,29.81582340925516,2045.102257016664,19.95497979276737,287.7119999999777,23.976,0.998003992015968
SAC,RL,1.0,combined_stress,step_load_disturbance,31.379524632413023,2167.610659306989,30.325407092927847,287.7119999999777,23.976,0.998003992015968
SAC,RL,1.0,combined_stress,ramp,5.478086808124292,76.81164921746083,21.27947659195408,276.09022763267296,23.363930021285963,0.908183632734531
SAC,RL,1.0,combined_stress,sine,29.815823409255163,2399.969373961576,19.95497979275764,287.7119999999777,23.976,0.998003992015968
SAC,RL,2.0,nominal,step_nominal,12.353302624483314,811.3970635179668,0.8533311577068758,141.90579185113893,13.290527938366283,0.4770459081836327
SAC,RL,2.0,nominal,step_load_disturbance,12.297691738323763,811.774514446839,0.2688638285473104,147.29239870231785,14.306198682785348,0.4850299401197604
SAC,RL,2.0,nominal,ramp,0.4293842432875452,0.3754433457636029,0.602839853612295,68.58826640222613,11.644841013908344,0.0
SAC,RL,2.0,nominal,sine,15.662838952914914,1171.7152761809054,0.7352334457545169,161.62831974367907,15.7874852159622,0.4870259481037924
SAC,RL,2.0,ra_plus_50,step_nominal,16.911317815933796,1108.7954294590363,0.8425120549047733,197.7354799158317,17.499497927189086,0.6666666666666666
SAC,RL,2.0,ra_plus_50,step_load_disturbance,17.237554757158737,1119.432930347895,0.1046979912935057,211.62260132669857,18.982390832901164,0.7085828343313373
SAC,RL,2.0,ra_plus_50,ramp,0.7497208371685884,1.1364556343611376,1.3224260088296802,140.03548041855245,16.633989665031383,0.0
SAC,RL,2.0,ra_plus_50,sine,19.65285787257439,1545.8531007341696,1.5706010873711875,201.4926882735253,18.433268204152764,0.590818363273453
SAC,RL,2.0,j_plus_50,step_nominal,18.368769753745067,1216.180264849379,0.8445884270123116,211.17702745028683,18.493789861679254,0.7145708582834331
SAC,RL,2.0,j_plus_50,step_load_disturbance,18.654831734782853,1226.803052474137,0.2420563737092607,221.12524988681685,19.487818109512475,0.7485029940119761
SAC,RL,2.0,j_plus_50,ramp,0.7537426379590905,1.1495822150252493,1.4201661896319564,139.7189093415023,16.61876958417887,0.0
SAC,RL,2.0,j_plus_50,sine,20.785288676504663,1666.1739121323171,1.6172672586089618,207.44554660699012,18.74290105998533,0.6167664670658682
SAC,RL,2.0,friction,step_nominal,12.60155120907982,829.0592147062472,0.7860972433830256,145.6612874099099,13.735370221615169,0.4870259481037924
SAC,RL,2.0,friction,step_load_disturbance,12.57876780137595,829.6370885263458,0.1966446275325637,151.68312067726225,14.751021553993526,0.497005988023952
SAC,RL,2.0,friction,ramp,0.459346294927245,0.4287825007332201,0.6723558902765916,73.88965599462352,12.088431991100268,0.0
SAC,RL,2.0,friction,sine,15.916251044987405,1196.2775401833064,0.7959992743659399,163.77266156399574,15.902496755555536,0.4930139720558882
SAC,RL,2.0,saturation,step_nominal,26.940787110977677,1805.0384239789296,7.922247162385119,287.7119999999777,23.976,0.998003992015968
SAC,RL,2.0,saturation,step_load_disturbance,28.517745020124764,1898.9442789255693,18.426330494000013,287.7119999999777,23.976,0.998003992015968
SAC,RL,2.0,saturation,ramp,2.7766092441109373,18.24930168280033,9.64653513299288,267.765604713285,22.929862551212217,0.8403193612774451
SAC,RL,2.0,saturation,sine,26.94078711097768,2198.194417903253,7.922247162375385,287.7119999999777,23.976,0.998003992015968
SAC,RL,2.0,combined_stress,step_nominal,29.81582340925516,2045.102257016664,19.95497979276737,287.7119999999777,23.976,0.998003992015968
SAC,RL,2.0,combined_stress,step_load_disturbance,31.379524632413023,2167.610659306989,30.325407092927847,287.7119999999777,23.976,0.998003992015968
SAC,RL,2.0,combined_stress,ramp,5.548116353088327,78.32985635816729,21.414253128867017,276.40992062100315,23.34775880050654,0.9221556886227544
SAC,RL,2.0,combined_stress,sine,29.815823409255163,2399.969373961576,19.95497979275764,287.7119999999777,23.976,0.998003992015968
SAC,RL,3.0,nominal,step_nominal,12.314354677403031,811.3642041933109,0.0551604183223588,142.4904848711858,13.2074404277805,0.4790419161676646
SAC,RL,3.0,nominal,step_load_disturbance,12.24647841957703,811.7440057800699,0.0409732722746127,147.9692302541801,14.277055375576335,0.4870259481037924
SAC,RL,3.0,nominal,ramp,0.2507539343730228,0.1316769582565234,0.4139825435219393,69.04662476533949,11.704274412155115,0.0
SAC,RL,3.0,nominal,sine,15.65588955222727,1171.6757087007622,0.7635805667293596,162.5671414408696,15.878160279404634,0.4870259481037924
SAC,RL,3.0,ra_plus_50,step_nominal,16.884463017201167,1108.7590596564405,0.427043279979074,198.17344491893243,17.434237604856705,0.6706586826347305
SAC,RL,3.0,ra_plus_50,step_load_disturbance,17.221376312700045,1119.4175170511917,0.0730257170332322,212.4973044128182,18.97980415916459,0.7085828343313373
SAC,RL,3.0,ra_plus_50,ramp,0.585655431748182,0.7011178969057573,1.0343070812633215,141.19173064874752,16.71772413492198,0.0
SAC,RL,3.0,ra_plus_50,sine,19.68104389743319,1545.9213216473972,1.684349354672463,202.86075306147683,18.524611868322072,0.6047904191616766
SAC,RL,3.0,j_plus_50,step_nominal,18.34507784335152,1216.147836521812,0.4791658407788617,211.42682280182103,18.436312514305293,0.7145708582834331
SAC,RL,3.0,j_plus_50,step_load_disturbance,18.65619976750049,1226.797969327076,0.200213143923662,221.91598693648868,19.48258092975631,0.7485029940119761
SAC,RL,3.0,j_plus_50,ramp,0.5847106811950378,0.7008573617772891,1.0248320281546768,141.13061165747837,16.71936981201167,0.0
SAC,RL,3.0,j_plus_50,sine,20.82226807835974,1666.2670501588511,1.6555420462765795,209.1435410551376,18.82763327664154,0.6347305389221557
SAC,RL,3.0,friction,step_nominal,12.565962393334411,829.0314122611434,0.0287709868117644,146.19195473118623,13.656737816095688,0.4890219560878243
SAC,RL,3.0,friction,step_load_disturbance,12.521023157410228,829.6007749787698,0.048182992579342,152.35315882144238,14.729661328316036,0.497005988023952
SAC,RL,3.0,friction,ramp,0.276799489917142,0.1596009568795461,0.4606595319259554,74.35333600657422,12.145524489402732,0.0
SAC,RL,3.0,friction,sine,15.912295231364942,1196.2432825120186,0.8311816616093921,164.69675763583805,15.983245415519251,0.4930139720558882
SAC,RL,3.0,saturation,step_nominal,26.940787110977677,1805.0384239789296,7.922247162385119,287.7119999999777,23.976,0.998003992015968
SAC,RL,3.0,saturation,step_load_disturbance,28.517745020124764,1898.9442789255693,18.426330494000013,287.7119999999777,23.976,0.998003992015968
SAC,RL,3.0,saturation,ramp,2.89877118803068,19.68267581599703,9.901035639646196,266.33510222472154,22.86920507287969,0.8403193612774451
SAC,RL,3.0,saturation,sine,26.94078711097768,2198.194417903253,7.922247162375385,287.7119999999777,23.976,0.998003992015968
SAC,RL,3.0,combined_stress,step_nominal,29.81582340925516,2045.102257016664,19.95497979276737,287.7119999999777,23.976,0.998003992015968
SAC,RL,3.0,combined_stress,step_load_disturbance,31.379524632413023,2167.610659306989,30.325407092927847,287.7119999999777,23.976,0.998003992015968
SAC,RL,3.0,combined_stress,ramp,5.631289211967113,80.21829260441584,21.58055818782097,275.5248939294872,23.3110597558021,0.9121756487025948
