condition,scenario,IAE,IAE,ISE,ISE,SSE,SSE,ControlEnergy,ControlEnergy,MeanAbsVoltage,MeanAbsVoltage,MaxAbsVoltage,MaxAbsVoltage,NearSaturationFraction,NearSaturationFraction,SaturationFraction,SaturationFraction,RiseTime,RiseTime,SettlingTime,SettlingTime,Overshoot,Overshoot
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
combined_stress,ramp,5.39060478144747,0.12516501202262298,74.76279670191391,2.675974974356733,21.08918497343275,0.24655965394762763,280.2651279320093,1.125417859159367,23.54610952454802,0.07074014599585775,24.0,0.0,0.9610778443113773,0.005425650841749905,0.9530938123752495,0.007056953904057367,,,,,,
combined_stress,sine,29.815823409255167,0.0,2399.969373961576,0.0,19.95497979275764,0.0,287.7119999999777,0.0,23.976,0.0,24.0,0.0,0.998003992015968,0.0,0.998003992015968,0.0,,,,,,
combined_stress,step_load_disturbance,31.379524632413023,0.0,2167.610659306989,0.0,30.325407092927843,0.0,287.7119999999777,0.0,23.976,0.0,24.0,0.0,0.998003992015968,0.0,0.998003992015968,0.0,,,,,0.0,0.0
combined_stress,step_nominal,29.81582340925516,0.0,2045.1022570166642,2.005247333018353e-13,19.954979792767375,3.1331989578411767e-15,287.7119999999777,0.0,23.976,0.0,24.0,0.0,0.998003992015968,0.0,0.998003992015968,0.0,,,,,0.0,0.0
friction,ramp,0.2595078805008565,0.14560600560127704,0.18893544784688548,0.22380235677095536,0.4549620545738279,0.208134477852426,74.54931009468244,0.3792186593632377,12.140075264045558,0.026715432387419774,14.875717544555664,2.0330370699978757,0.0,0.0,0.0,0.0,,,,,,
friction,sine,15.820489106155255,0.011691608281794736,1195.974066317458,0.021569141250725017,0.7594975516390491,0.22083697450307424,165.44868067715365,0.22377934503262767,16.03893608670484,0.021056077896547967,24.0,0.0,0.497005988023952,4.8956233716268386e-17,0.497005988023952,4.8956233716268386e-17,,,,,,
friction,step_load_disturbance,12.574319708595842,0.020588507883398013,829.6202793282371,0.010232992618525925,0.2794438199282908,0.09406815409491116,152.90257214188145,0.25090041785811557,14.765710452986065,0.01993539265727905,24.0,0.0,0.5039920159680639,0.0014113907808114877,0.5029940119760479,0.0013306719893545855,0.20299999999999133,0.0,0.24999999999998881,0.0,0.33409915828135583,0.11006816750089274
friction,step_nominal,12.562216561688285,0.020817272456644713,829.0140629178366,0.014991295634965205,0.3712751457682444,0.1728928745410481,146.48778607346114,0.17358926282760073,13.693033641887046,0.018862916455950816,24.0,0.0,0.49461077844311374,0.00126238629148438,0.4936127744510978,0.0013472027100010942,0.19999999999999163,2.4478116858134193e-17,0.2449999999999893,2.4478116858134193e-17,0.5029296112383292,0.044513970214018546
j_plus_50,ramp,0.4478529065656917,0.12883468563909195,0.44709331756105597,0.30046953165687323,0.8252199407275583,0.21417330652486632,142.18525492629664,1.5156747021739436,16.7554098481148,0.04448453217775001,19.2755334854126,2.0488380690867767,0.01277445109780439,0.027192632919642953,0.0011976047904191617,0.0037871588744531498,,,,,,
j_plus_50,sine,20.737960751730235,0.012094995811045029,1666.05889120117,0.026743741754586707,1.2427255699238031,0.2278882845713358,210.97992166748745,0.7205227967232939,19.031889557972896,0.04949687246390197,24.0,0.0,0.6750499001996008,0.006573034749289941,0.6285429141716568,0.012951000556892885,,,,,,
j_plus_50,step_load_disturbance,18.667066897574497,0.009894095353241596,1226.8030149025512,0.005719651683407295,0.33359419792303413,0.10026104990432297,222.52921442677993,0.38929553916257087,19.502212796688223,0.030218896777918457,24.0,0.0,0.7572854291417166,0.002145644111323618,0.755688622754491,0.001395620556447331,0.3059999999999785,0.0,0.374999999999975,0.0,0.32781443810469285,0.13040876245301378
j_plus_50,step_nominal,18.334347161117627,0.009677949280193611,1216.1360593699023,0.008630222852354827,0.4455851033436474,0.12141572202548113,212.05217910080373,0.19288485112537085,18.434077988124073,0.019596500970145706,24.0,0.0,0.7265469061876247,0.0013306719893546345,0.7241516966067865,0.0020614681816140553,0.29299999999997994,4.8956233716268386e-17,0.35999999999997667,4.8956233716268386e-17,0.5032239434386057,0.05532106827194214
nominal,ramp,0.24099313919048554,0.1475323227163845,0.17087832029198213,0.21538627699907797,0.4189179824227594,0.20823525406031843,69.14322747717274,0.3300519289705274,11.696518580931386,0.027665233823544987,13.906415271759034,1.1590167373747928,0.0,0.0,0.0,0.0,,,,,,
nominal,sine,15.558720685026827,0.01158388731522048,1171.373990917271,0.0219907619049457,0.7215030851838578,0.21723766869732575,163.3276853028778,0.20527136527952777,15.921494733995228,0.021522184804161383,24.0,0.0,0.49101796407185627,4.8956233716268386e-17,0.4902195608782435,0.0010307340908069873,,,,,,
nominal,step_load_disturbance,12.307175945462877,0.024715962504816648,811.7689995278851,0.012760465806588907,0.3058110780010338,0.10587318497828334,148.50748167370364,0.24991889557584135,14.316338348150566,0.020172383107133984,24.0,0.0,0.4920159680638722,0.001411390780811476,0.4912175648702594,0.0014727840067317803,0.19699999999999193,4.8956233716268386e-17,0.24399999999998942,4.8956233716268386e-17,0.37006669749618765,0.11159127625891742
nominal,step_nominal,12.307311729680112,0.020772921695648372,811.3403036405853,0.01646777369721678,0.4026366767554066,0.178897737644196,142.75471830262157,0.17501243116682985,13.244134676385276,0.01923360801301419,24.0,0.0,0.48463073852295413,0.0008415908609895985,0.4828343313373253,0.0017476946821774674,0.19499999999999215,5.067451620406765e-17,0.23999999999998992,0.0,0.5394034658765421,0.04212418693747739
ra_plus_50,ramp,0.4292840382989537,0.09981018717351876,0.4160155519804122,0.23260734692012144,0.7568976835695977,0.16541987140534203,141.87904201828184,0.7760264432484403,16.762672101479723,0.03265131665638552,18.885854530334473,1.6588761939459264,0.001996007984031936,0.006311931457421915,0.0001996007984031936,0.0006311931457421915,,,,,,
ra_plus_50,sine,19.589385100661993,0.012576150467643998,1545.6763396414046,0.027034556844170294,1.2344495731286458,0.21310046932047433,205.0700310929921,0.56552350120361,18.711199172939345,0.04455580512720735,24.0,0.0,0.6483033932135729,0.008664708234783618,0.6027944111776448,0.009073973184953992,,,,,,
ra_plus_50,step_load_disturbance,17.24121812220675,0.009251915299130279,1119.4221860523203,0.004550742075628202,0.2789367841285255,0.08507001980365195,213.2576373343091,0.38893085476706585,19.00565506901757,0.02966543191955861,24.0,0.0,0.7193612774451098,0.0016831817219792279,0.7171656686626746,0.0021144708692043446,0.28899999999998094,4.8956233716268386e-17,0.3559999999999771,0.0,0.2731653785177784,0.11040272601312151
ra_plus_50,step_nominal,16.87268001705398,0.01112884028857183,1108.7459863627084,0.009870504060116136,0.44190519967210234,0.12613149114226216,198.65552733596186,0.18081589153824676,17.435996554732533,0.020023928710552974,24.0,0.0,0.6792415169660678,0.0013472027100011241,0.677245508982036,0.0016432586873224519,0.2739999999999826,0.0,0.3359999999999793,0.0,0.5131387282199554,0.04792497085247486
saturation,ramp,2.6071560629888224,0.14443927116447974,16.318487015209364,1.4908608255302813,9.270542617194154,0.2912262456346966,276.23989300075533,1.9605283907625224,23.34757581014479,0.10605808681996919,24.0,0.0,0.9399201596806387,0.011541230460016226,0.9165668662674651,0.016694498562940453,,,,,,
saturation,sine,26.94078711097768,3.1331989578411767e-15,2198.1944179032535,4.010494666036706e-13,7.922247162375385,0.0,287.7119999999777,0.0,23.976,0.0,24.0,0.0,0.998003992015968,0.0,0.998003992015968,0.0,,,,,,
saturation,step_load_disturbance,28.517745020124767,0.0,1898.9442789255695,2.005247333018353e-13,18.426330494000013,0.0,287.7119999999777,0.0,23.976,0.0,24.0,0.0,0.998003992015968,0.0,0.998003992015968,0.0,,,,,0.0,0.0
saturation,step_nominal,26.940787110977674,3.1331989578411767e-15,1805.0384239789296,0.0,7.922247162385119,0.0,287.7119999999777,0.0,23.976,0.0,24.0,0.0,0.998003992015968,0.0,0.998003992015968,0.0,0.43399999999996186,0.0,,,0.0,0.0
