seed,condition,scenario,IAE,ISE,SSE,ControlEnergy,MeanAbsVoltage,MaxAbsVoltage,NearSaturationFraction,SaturationFraction,RiseTime,SettlingTime,Overshoot,dt
0,nominal,step_nominal,12.304923943210683,811.3382978341767,0.1479366869846359,142.75165184530664,13.217958248615616,24.0,0.4850299401197604,0.4830339321357285,0.1949999999999921,0.2399999999999899,0.5484075782263744,0.001
0,nominal,step_load_disturbance,12.297174798129992,811.7632251879154,0.1205263601406585,148.57604414574644,14.300141678333596,24.0,0.4930139720558882,0.4910179640718562,0.1969999999999919,0.2439999999999894,0.4306485331400153,0.001
0,nominal,ramp,0.2649452343953903,0.1673649041112149,0.7475884065676155,69.28895776363727,11.671095237731896,16.162660598754883,0.0,0.0,,,,0.001
0,nominal,sine,15.564546581643974,1171.3945805362912,0.7091550477622519,163.4209969848373,15.937333867818376,24.0,0.4910179640718562,0.4910179640718562,,,,0.001
0,ra_plus_50,step_nominal,16.877669370511864,1108.749765511178,0.4353168223200043,198.79749896942712,17.435357293606017,24.0,0.6806387225548902,0.6786427145708582,0.2739999999999826,0.3359999999999793,0.5411707284258682,0.001
0,ra_plus_50,step_load_disturbance,17.245665741766135,1119.423958875646,0.3112915699337151,213.52028861523988,19.018489855766457,24.0,0.720558882235529,0.718562874251497,0.2889999999999809,0.3559999999999771,0.3316908369202025,0.001
0,ra_plus_50,ramp,0.4612446481939702,0.4526020993926662,1.0812438862375444,140.95243135529233,16.719742746353106,18.114885330200195,0.0,0.0,,,,0.001
0,ra_plus_50,sine,19.585264128193398,1545.6726364800595,1.0978227620575751,205.7637736624009,18.77326134590076,24.0,0.6467065868263473,0.6147704590818364,,,,0.001
0,j_plus_50,step_nominal,18.33771402225902,1216.1383724301925,0.4460589722646517,212.1471353768681,18.434815833330333,24.0,0.7265469061876247,0.7265469061876247,0.2929999999999799,0.3599999999999766,0.528928049969096,0.001
0,j_plus_50,step_load_disturbance,18.672540501269918,1226.8058611762629,0.3842591368081116,222.7653789712452,19.516216085434102,24.0,0.7584830339321357,0.7564870259481038,0.3059999999999785,0.374999999999975,0.3921188532978732,0.001
0,j_plus_50,ramp,0.4987818697127999,0.5287861036803922,1.180271319357857,140.74877133221804,16.702380532264662,18.044906616210938,0.0,0.0,,,,0.001
0,j_plus_50,sine,20.73807992229536,1666.0615569575116,1.18398085807371,211.30418319726147,19.067847153276364,24.0,0.6766467065868264,0.6227544910179641,,,,0.001
0,friction,step_nominal,12.561372337537914,829.013124443491,0.1240576757921303,146.49010028188766,13.66788595771823,24.0,0.4950099800399201,0.4950099800399201,0.1999999999999916,0.2449999999999893,0.513432511843618,0.001
0,friction,step_load_disturbance,12.564194314159254,829.6151790109544,0.1070458362944037,152.96578775938815,14.751676421165769,24.0,0.5049900199600799,0.5029940119760479,0.2029999999999913,0.2499999999999888,0.3939330816735662,0.001
0,friction,ramp,0.2858611615367624,0.19169463986953,0.7920526777267014,74.51760690445012,12.113589231014211,16.33527946472168,0.0,0.0,,,,0.001
0,friction,sine,15.827127357699773,1195.9942208790787,0.7507757718994981,165.51844783090002,16.049358599216003,24.0,0.497005988023952,0.497005988023952,,,,0.001
0,saturation,step_nominal,26.940787110977677,1805.0384239789296,7.922247162385119,287.7119999999777,23.976,24.0,0.998003992015968,0.998003992015968,0.4339999999999619,,0.0,0.001
0,saturation,step_load_disturbance,28.517745020124764,1898.9442789255693,18.426330494000013,287.7119999999777,23.976,24.0,0.998003992015968,0.998003992015968,,,0.0,0.001
0,saturation,ramp,2.7245893098310434,17.563232883918168,9.511314678390008,273.75613900891915,23.220594697952208,24.0,0.9281437125748504,0.9021956087824352,,,,0.001
0,saturation,sine,26.94078711097768,2198.194417903253,7.922247162375385,287.7119999999777,23.976,24.0,0.998003992015968,0.998003992015968,,,,0.001
0,combined_stress,step_nominal,29.81582340925516,2045.102257016664,19.95497979276737,287.7119999999777,23.976,24.0,0.998003992015968,0.998003992015968,,,0.0,0.001
0,combined_stress,step_load_disturbance,31.379524632413023,2167.610659306989,30.325407092927847,287.7119999999777,23.976,24.0,0.998003992015968,0.998003992015968,,,0.0,0.001
0,combined_stress,ramp,5.45778376513597,76.2293080771028,21.22490937624509,278.6984515600491,23.47669388103481,24.0,0.9560878243512974,0.942115768463074,,,,0.001
0,combined_stress,sine,29.815823409255163,2399.969373961576,19.95497979275764,287.7119999999777,23.976,24.0,0.998003992015968,0.998003992015968,,,,0.001
1,nominal,step_nominal,12.326643382857409,811.3568848264385,0.5730622431260741,142.69695033976788,13.26187683224713,24.0,0.4850299401197604,0.4810379241516966,0.1949999999999921,0.2399999999999899,0.5730622431260741,0.001
1,nominal,step_load_disturbance,12.303676966294056,811.7652979257336,0.2236397221594046,148.21832671961533,14.309444574833227,24.0,0.4890219560878243,0.4890219560878243,0.1969999999999919,0.2439999999999894,0.3915788288918946,0.001
1,nominal,ramp,0.1388592835077235,0.0401884319976061,0.2221304373521064,69.00843489325322,11.700782560348472,13.170263290405272,0.0,0.0,,,,0.001
1,nominal,sine,15.54613977897537,1171.348633082778,0.5512150675842946,163.5310158367131,15.929460979890342,24.0,0.4910179640718562,0.4910179640718562,,,,0.001
1,ra_plus_50,step_nominal,16.878904467171232,1108.7510947424712,0.5301275873267883,198.65303806874408,17.449953162431928,24.0,0.6786427145708582,0.6746506986027944,0.2739999999999826,0.3359999999999793,0.5301275873267883,0.001
1,ra_plus_50,step_load_disturbance,17.224209629084864,1119.4148302265555,0.079932339700278,212.9555674785458,18.98140419101731,24.0,0.716566866267465,0.7145708582834331,0.2889999999999809,0.3559999999999771,0.1974454154411944,0.001
1,ra_plus_50,ramp,0.3584582033390495,0.2631397618268892,0.6121954916074515,141.73658979726395,16.766342849731405,18.333192825317383,0.0,0.0,,,,0.001
1,ra_plus_50,sine,19.60143574170792,1545.6923025919814,1.447940299082802,204.70602008156624,18.66541644386592,24.0,0.6347305389221557,0.6067864271457086,,,,0.001
1,j_plus_50,step_nominal,18.33899296838939,1216.1397371887767,0.5211371832128293,212.0776813406352,18.44568708157557,24.0,0.7265469061876247,0.7225548902195609,0.2929999999999799,0.3599999999999766,0.5211371832128293,0.001
1,j_plus_50,step_load_disturbance,18.653118316530488,1226.7949902153523,0.1572595750724446,222.2584058050072,19.47849807310119,24.0,0.7544910179640718,0.7544910179640718,0.3059999999999785,0.374999999999975,0.2396860243664065,0.001
1,j_plus_50,ramp,0.3623148542595077,0.268384035282778,0.6306172368015979,141.81556166157247,16.763357291698416,18.32960319519043,0.0,0.0,,,,0.001
1,j_plus_50,sine,20.738634307039167,1666.0536880361688,1.273332088626148,210.9231537336757,19.021569782495657,24.0,0.6746506986027944,0.6227544910179641,,,,0.001
1,friction,step_nominal,12.58046609964342,829.0281698696914,0.535702998718179,146.47194432365862,13.709934073210096,24.0,0.4950099800399201,0.4930139720558882,0.1999999999999916,0.2449999999999893,0.535702998718179,0.001
1,friction,step_load_disturbance,12.567167558441753,829.6156021404956,0.1773265466533331,152.61786245004112,14.757398164749446,24.0,0.500998003992016,0.500998003992016,0.2029999999999913,0.2499999999999888,0.3514159929368929,0.001
